source_title,source_url,published_at,quote_text,category,punch_score,tone,tweet_version,card_version,caption_version
Getting Cooperation from our Kids - Dr. Ray,https://www.drray.com/getting-cooperation-from-our-kids/,2025-11-25,"For Lent, give up something harder than chocolate.",quote_card,8,conversion,"For Lent, give up something harder than chocolate.","For Lent, give up something harder than chocolate.","This Lent, challenge yourself to give up something more meaningful than chocolate. Seek true transformation."
How do feelings change? - Dr. Ray,https://www.drray.com/how-do-feelings-change/,2025-11-16,"For Lent, give up something a lot harder than chocolate covered peanuts.",quote_card,8,conversion,"This Lent, sacrifice more than chocolate.",Sacrifice more than chocolate.,"This Lent, challenge yourself to sacrifice something deeper than chocolate-covered peanuts."
How do feelings change? - Dr. Ray,https://www.drray.com/how-do-feelings-change/,2025-11-16,Why can't someone accept your deepest held beliefs?,tweet,7,masculine_callout,Why can't your deepest beliefs be accepted?,Why can't your beliefs be accepted?,Why is it so hard for others to accept your deepest held beliefs?
How do feelings change? - Dr. Ray,https://www.drray.com/how-do-feelings-change/,2025-11-16,Holding parents accountable for children's horrific behavior.,long_caption,9,warning,Parents must be accountable for their children's actions.,"Parents, own your children's actions.",We must hold parents accountable for their children's horrific behavior. Responsibility starts at home.
Is an Algorithm Raising Your Kid? - Dr. Ray,https://www.drray.com/is-an-algorithm-raising-your-kid/,2025-11-11,"For Lent, give up something harder than chocolate covered peanuts.",quote_card,8,conversion,"For Lent, give up something harder than chocolate covered peanuts.",Lent demands more than chocolate.,"This Lent, challenge yourself to give up something that truly tests your resolve. Chocolate is just the beginning."
Affection Sends a Powerful Message - Dr. Ray,https://www.drray.com/affection-sends-a-powerful-message/,2025-10-26,"For Lent, sacrifice more than chocolate; sacrifice comfort.",quote_card,9,theology,"For Lent, sacrifice more than chocolate; sacrifice comfort.",Sacrifice more than chocolate; sacrifice comfort.,"This Lent, challenge yourself to sacrifice more than just chocolate. Sacrifice comfort and grow in faith."
Affection Sends a Powerful Message - Dr. Ray,https://www.drray.com/affection-sends-a-powerful-message/,2025-10-26,Parents must be accountable for their children's behavior. Ignoring this duty invites chaos.,long_caption,8,warning,Parents must be accountable for their children's behavior. Ignoring this duty invites chaos.,Parental accountability is non-negotiable.,"Parents, your accountability for your children's actions is crucial. Ignoring this duty invites chaos into your home and society."
The Myth of the Middle Child Syndrome - Dr. Ray,https://www.drray.com/the-myth-of-the-middle-child-syndrome/,2025-10-19,Hold parents accountable for children's horrific behavior.,tweet,9,warning,Hold parents accountable for children's horrific behavior.,"Parents, your child's behavior is your responsibility.",Accountability starts at home. Parents must guide their children away from horrific behavior.
The Myth of the Middle Child Syndrome - Dr. Ray,https://www.drray.com/the-myth-of-the-middle-child-syndrome/,2025-10-19,"For Lent, give up something harder than chocolate-covered peanuts.",long_caption,7,conversion,"This Lent, sacrifice more than chocolate-covered peanuts.",Lent demands more than easy sacrifices.,Lent is a call to deeper sacrifice. Choose something harder than chocolate-covered peanuts.
The Body is Dumb - Dr. Ray,https://www.drray.com/the-body-is-dumb/,2025-10-12,Hold parents accountable for their children's horrific behavior.,long_caption,7,warning,Hold parents accountable for their children's behavior.,"Parents, own your children's actions.",We must hold parents accountable for their children's horrific behavior. Responsibility begins at home.
Who should I blame for my problems? - Dr. Ray,https://www.drray.com/who-should-i-blame-for-my-problems/,2025-10-06,Holding parents accountable for children's horrific behavior is essential.,long_caption,7,warning,Parents must be accountable for their children's behavior.,Parents: accountable for children's actions.,"We must hold parents accountable for their children's horrific behavior. Responsibility begins at home, shaping the future generation."
Non-Judgmental Language is Just Wrong - Dr. Ray,https://www.drray.com/non-judgmental-language-is-just-wrong/,2025-09-29,"For Lent, sacrifice something more challenging than chocolate.",tweet,8,theology,"For Lent, sacrifice something more challenging than chocolate.",Sacrifice more than chocolate for Lent.,"This Lent, challenge yourself to give up something more meaningful than chocolate."
Non-Judgmental Language is Just Wrong - Dr. Ray,https://www.drray.com/non-judgmental-language-is-just-wrong/,2025-09-29,Parents must be accountable for their children's horrific behavior.,quote_card,9,warning,Parents must be accountable for their children's behavior.,Hold parents accountable for their children's actions.,It's time to hold parents accountable for the horrific behavior of their children.
"Walk a mile in my shoes, or you can't help me - NOT! - Dr. Ray",https://www.drray.com/walk-a-mile-in-my-shoes-or-you-cant-help-me-not/,2025-09-16,Why can’t someone accept your deepest held beliefs?,tweet,7,theology,Why can't someone accept your deepest beliefs?,Why can't they accept your beliefs?,Why is it so hard for others to accept your deepest held beliefs?
"Walk a mile in my shoes, or you can't help me - NOT! - Dr. Ray",https://www.drray.com/walk-a-mile-in-my-shoes-or-you-cant-help-me-not/,2025-09-16,Holding parents accountable for children’s horrific behavior.,long_caption,9,warning,Hold parents accountable for their children's behavior.,"Parents, own your child's behavior.",We must hold parents accountable for their children’s horrific behavior. Responsibility starts at home.
